# Canterbury tales	## 0 = Geoffrey Chaucer
gow/07/219-gow.cat	The First Lawgivers; Kings must keep the Laws
gow/07/220-gow.cat	The Fourth Point pf Policy; Pity
gow/07/221-gow.cat	The Tale of Codrus
gow/07/222-gow.cat	Pompeius and the King of Armenia
gow/07/223-gow.cat	Cruelty
gow/07/224-gow.cat	Cruelty of Leontius
gow/07/225-gow.cat	Cruelty of Siculus
gow/07/226-gow.cat	Dionysius and his Horses
gow/07/227-gow.cat	Lichaon
gow/07/228-gow.cat	Nobleness of the Lion
gow/07/229-gow.cat	Spertachus and Thamaris
gow/07/230-gow.cat	Mercy must be without Weakness
gow/07/231-gow.cat	The Mountain and the Mouse
gow/07/232-gow.cat	There is a time for War
gow/07/233-gow.cat	Story of Gideon
gow/07/234-gow.cat	Saul and Agag
gow/07/235-gow.cat	David and Joab
gow/07/236-gow.cat	Solomon's Wisdom
gow/07/237-gow.cat	The Courtiers and the Fool
gow/07/238-gow.cat	Folly of Rehoboam
gow/07/239-gow.cat	Wisdom in a King's Council; Mercy and Justice
gow/07/240-gow.cat	The Fifth Point of Policy; Chastity
gow/07/241-gow.cat	Evil Example of Sardanapalus
gow/07/242-gow.cat	David
gow/07/243-gow.cat	Cyrus and the Lydians
gow/07/244-gow.cat	The Counsel of Balaam
gow/07/245-gow.cat	Evil Example of Solomon
gow/07/246-gow.cat	Division of His Kingdom
gow/07/247-gow.cat	Antonius
gow/07/248-gow.cat	Tarquin and his son Aruns
gow/07/249-gow.cat	The Rape of Lucrece
gow/07/250-gow.cat	Tale of Virginia
gow/07/251-gow.cat	Tobias and Sara
gow/07/252-gow.cat	Chastity
gow/08/*-gow.cat	Confessio Amantis - Book VIII
gow/08/253-gow.cat	Lechery; The Origins of Mankind
gow/08/254-gow.cat	Laws of Marriage
gow/08/255-gow.cat	Examples of Incest; Caligula; Ammon
gow/08/256-gow.cat	Lot and his Daughters; Incest
gow/08/257-gow.cat	Apollonius of Tyre
gow/08/258-gow.cat	The Lover requires Counsel; The Confessor replies; The Controversy
gow/08/259-gow.cat	The Supplication
gow/08/260-gow.cat	Venus replies to the Supplication
gow/08/261-gow.cat	Venus replies to the Supplication
gow/08/262-gow.cat	The Companies of Lovers
gow/08/263-gow.cat	Cupid and the Lover; The Fiery Dart withdrawn
gow/08/264-gow.cat	The Healing of Love; The Absolution
gow/08/265-gow.cat	Leave-taking of Venus
gow/08/266-gow.cat	Author Prays for the State of England; Evil of Division in the Land; the Duty of a King
gow/08/267-gow.cat	The Book Completed
gow/08/268-gow.cat	Farewell to Earthly Love; Heavenly Love
Gow/09/*-gow.cat	Confessio Amantis (variant text) 
gow/09/269-gow.cat	Design of the Book; Dedication (variant text)
gow/09/270-gow.cat	Virginity; example of Valentinianus introduced (variant text)
gow/09/271-gow.cat	Tale of Lucius and the Statue (variant text)
gow/09/272-gow.cat	Example of Dante (variant text)
gow/09/273-gow.cat	Pity; example of Alexander (variant text)
gow/09/274-gow.cat	Tale of the Jew and the Pagan (variant text)
gow/09/275-gow.cat	Leave-taking of Venus (variant text)
gow/09/276-gow.cat	Author prays for the King; The King commended (variant text)
gow/09/277-gow.cat	The Author presents his Book to the King (variant text)
gow/09/278-gow.cat	Farewell to Earthly Love; Heavenly Love (variant text)
gow/10/279-gow.cat	In Praise of Peace
